DIRECTOR,COMPANY, PERCENTAGE OF SHARES
FREDDIE PANG HOCK CHENG,BERJAYA CORPORATION BHD,0.01
FREDDIE PANG HOCK CHENG,BERJAYA SPORTS TOTO BHD,0.03
FREEK RIJNA,DUTCH LADY MILK INDUSTRIES BHD,
FRITS VAN DIJK,NESTLE M BHD,0.0034
FUAD JAAFAR,TENAGA NASIONAL BHD,
GEE SIEW YOONG,SAPURAKENCANA PETROLEUM BHD,
GEE SIEW YOONG,TELEKOM M BHD,
GERALD RENTAP JABU,SARAWAK OIL PALMS BHD,
GHAZALI DARMAN,BURSA MALAYSIA,
GHAZALI MOHD ALI,BOUSTEAD HOLDINGS BHD,
GHAZI ISHAK,ORIENTAL HOLDINGS BHD,
GHAZZALI SHEIKH ABDUL KHALID,AXIATA GROUP BHD,
GILES PLANTE,AMMB HOLDINGS BHD,
GLENN MUHAMMAD SURYA YUSUF,CIMB GROUP HOLDINGS BHD,
GNANALINGAM GUNANATH LINGAM,WESTPORTS M SDN BHD,0.02
GOH CHYE KOON,IJM CORPORATION BHD,
GOH TIAN SUI,IJM LAND BHD,
GOON HENG WAH,GAMUDA BHD,0.61
GORDON KAB,DAYANG ENTERPRISE HOLDINGS BHD,0.0005
GRAHAM JAMES FEWKES,CARLSBERG BREWERY M BHD,
GUMURI HUSSAIN,MEDIA PRIMA BHD,
HA TIING TAI,GAMUDA BHD,0.79
HABIBAH ABDUL,KLCCP HOLDINGS BHD,
HABIBAH ABDUL,PETRONAS GAS BHD,
HADENAN A JALIL,MAYBANK BANKING BHD,
HAJJAH ROSNI  ZAHARI,MSM MALAYSIA HOLDINGS BHD,
HAKON BRUASET KJOL,DIGI DOT COM BHD,
HALIM DIN,IGB REAL ESTATE INVESTMENT TRUST,
HALIM SHAFIE,TELEKOM M BHD,
HALIPAH ESA,KLCCP HOLDINGS BHD,
HALIPAH ESA,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
HALIPAH ESA,MISC BHD,
HAMAD KAMA PIAH CHE OTHMAN,SIME DARBY BHD,
HAMAD KAMA PIAH CHE OTHMAN,PNB,
HAMIDAH NAZIADIN,MAXIS BHD,
HAMIZAH ABIDIN,TELEKOM M BHD,
HAMZAH BAKAR,CIMB GROUP HOLDINGS BHD,
HAMZAH BAKAR,SAPURAKENCANA PETROLEUM BHD,0.08
HAMZAH HASAN,IJM CORPORATION BHD,
HANS ESSAADI,GUINNESS ANCHOR BHD,
HARI NARAYANAN GOVINDASAMY,SP SETIA BHD GROUP,
HARI NARAYANAN GOVINDASAMY,TENAGA NASIONAL BHD,
HARIS ONN HUSSEIN,SHANGRI LA HOTELS M BHD,
HARON SIRAJ,KULIM M BHD,
HARRY K MENON,MISC BHD,
HASBI SUHAILL,SARAWAK OIL PALMS BHD,
HASHIM ISMAIL,BINTULUPORT HOLDINGS BHD,
HASHIM WAHIR,KLCCP HOLDINGS BHD,
HASMAH ABDULLAH,UMW HOLDINGS BHD,
HASMI HASNAN,DAYANG ENTERPRISE HOLDINGS BHD,0.12
HASNI HARUN,GAS MALAYSIA BHD,
HASSAN ASSAD BASMA,BUMI ARMADA BHD,0.31
HENG HEYOK CHIANG,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
HENRIK JUEL ANDERSON,CARLSBERG BREWERY M BHD,
HENRY SACKVILLE BARLOW,SIME DARBY BHD,
HIROYOSHI EKINAGA,AEON COMPANY M BHD,
HISASHI NAKAMURA,GAS MALAYSIA BHD,
HISHAM ZAINAL MOKHTAR,ASTRO M HOLDINGS BHD,
